sku,category,name,unit,unit_price_ex_gst,currency,source_files,source_pages,status,review_reason
A-522-1,Chairs,A-522-1 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 66*66*36 1piece per carton 16KG,ea,651.26,AUD,chairs.pdf,28,OK,
A-548,Chairs,A-548 all meshblack frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 66*66*36 1piece per carton,ea,771.5,AUD,chairs.pdf,28,OK,
A-561,Chairs,A-561 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 70*50*65 1piece per carton 19.7KG,ea,1634.19,AUD,chairs.pdf,28,OK,
A-562,Chairs,A-562 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 70*50*65 1piece per carton 17.7KG,ea,1122.18,AUD,chairs.pdf,28,OK,
A-567,Chairs,A-567 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 66*66*36 1piece per carton 22KG,ea,1428.88,AUD,chairs.pdf,28,OK,
A04,Chairs,A04 PU leather High-quality PU leather + high-density sponge+ wooden frame + metal legs 85*60*62 1 piece per carton 21.5kg,ea,1010.94,AUD,chairs.pdf,14,OK,
A047,Chairs,A047 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black 86*32*65 1 piece per carton 0.18m³/piece 16kg,ea,651.26,AUD,chairs.pdf,10,OK,
A10,Chairs,A10 black frame High-quality mesh fabric + high-density foam + PP + metal 74*55*63 2piece per carton,ea,521.01,AUD,chairs.pdf,25,OK,
A1905,Chairs,A1905 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 92*65*26 1 piece per carton 0.16m³/piece 21kg,ea,651.26,AUD,chairs.pdf,10,OK,
A1910,Chairs,A1910 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey Earthy yellow 123*65*65 2 pieces per carton 0.26m³/piece 23.5kg,ea,751.46,AUD,chairs.pdf,9,OK,
A1911,Chairs,A1911 PU leather metal leg High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs coffee+Off- white coffee+ grey 95*76*40 1 piece per carton 0.29m³1piece 26kg,ea,1220.33,AUD,chairs.pdf,8,OK,
A1916,Chairs,A1916 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs beige orange grey 108*59*69 L-shaped cardboard box/1 piece per carton 2-piece combined carton box specifications are 108*80*,ea,851.65,AUD,chairs.pdf,7,OK,
A1919,Chairs,A1919 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 97*75*36 1 piece per carton 0.27m³ 25.5kg,ea,1010.94,AUD,chairs.pdf,8,OK,
A192,Chairs,A192 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 106*66*74 L-shaped cardboard box/1 piece per carton 2-piece combined carton box specifications are 106*90*7,ea,751.46,AUD,chairs.pdf,8,OK,
A1920,Chairs,A1920 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs black grey 96*85*57 2 pieces per carton 0.24m³/piece 25kg,ea,801.55,AUD,chairs.pdf,7,OK,
A1925,Chairs,A1925 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs black grey coffee 96*81*57 2 pieces per carton 0.23m³/piece 21kg,ea,801.55,AUD,chairs.pdf,8,OK,
A1926,Chairs,A1926 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs coffee+Off- white coffee+ grey 98*75*42 1 piece per carton 0.31m³/piece 26kg,ea,1520.92,AUD,chairs.pdf,7,OK,
A193,Chairs,A193 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee Earthy yellow 92*75*37 1 piece per carton 0.26m³/piece 25kg,ea,1025.04,AUD,chairs.pdf,10,OK,
A203,Chairs,A203 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 106*77*77 L-shaped cardboard box/1 piece per carton 2-piece combined carton box specifications are 106*112*,ea,1010.94,AUD,chairs.pdf,10,OK,
A21,Chairs,A21 black frame With Seat Shell High-quality mesh fabric + high-density foam + PP + metal 73*41*62 1piece per carton,ea,771.5,AUD,chairs.pdf,25,OK,
A210,Chairs,A210 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs orange+Off- white coffee+ grey 91*66*38 1 piece per carton 0.23m³/piece 23kg,ea,1220.33,AUD,chairs.pdf,6,OK,
A215,Chairs,A215 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs coffee+Eart hy yellow coffee+ grey 90*31*65 1 piece per carton 0.19m³/piece 22kg,ea,1325.62,AUD,chairs.pdf,10,OK,
A218,Chairs,A218 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs grey grey+coffee light grey+coffee 95*33*65 1 piece per carton 0.2m³/piece 21kg,ea,1010.94,AUD,chairs.pdf,7,OK,
A219,Chairs,A219 PU leather High-quality PU leather + shaping sponge+ Wooden Inner Frame + metal legs coffee+Eart hy yellow coffee+Off- white 95*33*65 1 piece per carton 0.2m³/piece 21kg,ea,1010.94,AUD,chairs.pdf,6,OK,
A2201,Chairs,A2201 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs black 91*66*38 1 piece per carton 0.23m³/piece 24kg,ea,951.85,AUD,chairs.pdf,4,OK,
A2203,Chairs,A2203 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey 92*65*28 1 piece per carton 0.17m³/piece 21kg,ea,751.46,AUD,chairs.pdf,5,OK,
A2205,Chairs,A2205 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey 92*65*28 1 piece per carton 0.17m³/piece 20kg,ea,751.46,AUD,chairs.pdf,5,OK,
A2206,Chairs,A2206 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs black grey 88*49*72 1 piece per carton 0.31m³/piece 28kg,ea,951.85,AUD,chairs.pdf,4,OK,
A2207,Chairs,A2207 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs light grey 105*75*74 L-shaped cardboard box/1 piece per carton 2pieceputcartonsize are 105*107*74 0.42m³/piece 2,ea,1120.14,AUD,chairs.pdf,4,OK,
A2209,Chairs,A2209 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs grey+beige 98*75*42 1 piece per carton 0.31m³/piece 30kg,ea,1220.33,AUD,chairs.pdf,4,OK,
A2211,Chairs,A2211 genuine leather High-quality genuine leather+ PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs grey black 112*75*81 1 piece per carton 37kg,ea,1630.11,AUD,chairs.pdf,4,OK,
A2212,Chairs,A2212 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs Off- white+Beige 全 grey 98*75*42 1 piece per carton 0.31m³/piece 30kg,ea,1220.33,AUD,chairs.pdf,5,OK,
A2215,Chairs,A2215 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs Off- white+light grey 106*66*74 L-shaped cardboard box/1 piece per carton 2-piece combined carton box specifications are 106,ea,701.36,AUD,chairs.pdf,6,OK,
A226,Chairs,A226 PU leather High-quality PU leather (genuine leather）+ high- density sponge+Doll Sponge+ Wooden Inner Frame + metal legs Blue-green black 115*74*76 L-shaped cardboard box/1 piece per carton 2pieceputcartonsize are 11,ea,1520.92,AUD,chairs.pdf,4,OK,
A2305,Chairs,A2305 PU leather High-quality genuine leather/ PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs grey+WovenK haki color 112*75*81 L-shaped cardboard box/1 piece per carton 2pieceputcartonsize ,ea,1225.43,AUD,chairs.pdf,3,OK,
A2307,Chairs,A2307 PU leather High-quality genuine leather/ PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs drak grey+Wovenc offee 112*75*81 L-shaped cardboard box/1 piece per carton 2pieceputcartonsize ,ea,1225.43,AUD,chairs.pdf,3,OK,
A2308,Chairs,A2308 PU leather High-quality genuine leather/ PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs grey+WovenK haki color 112*75*81 L-shaped cardboard box/1 piece per carton 2pieceputcartonsize ,ea,1225.43,AUD,chairs.pdf,3,OK,
A2309,Chairs,A2309 PU leather High-quality genuine leather/ PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs drak grey+Wovenc offee 112*75*81 L-shaped cardboard box/1 piece per carton 2pieceputcartonsize ,ea,1225.43,AUD,chairs.pdf,4,OK,
A231,Chairs,A231 A metalleg High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs black grey 107*76*78 L-shaped cardboard box/1 piece per carton 2pieceputcarton的纸 cartonsize are 107*106*780.45m³/,ea,1125.24,AUD,chairs.pdf,5,OK,
A2312,Chairs,A2312 Scratch- resistantPU leather High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs Off-white drak grey 115*78*77 1 piece per carton 42kg,ea,2850.44,AUD,chairs.pdf,2,OK,
A2313-1,Chairs,A2313-1 Manual Adjustment Scratch- resistantPU High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs Off-white drak grey 115*78*77 1 piece per carton 38KG,ea,1520.92,AUD,chairs.pdf,2,OK,
A2316,Chairs,A2316 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs drak grey black 99*72*75 1 piece per carton 28KG,ea,851.65,AUD,chairs.pdf,3,OK,
A2317,Chairs,A2317 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs Khaki color 99*72*75 1 piece per carton 28KG,ea,851.65,AUD,chairs.pdf,3,OK,
A2318,Chairs,A2318 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs Earthy yellow 99*72*75 1 piece per carton 28KG,ea,851.65,AUD,chairs.pdf,3,OK,
A2321,Chairs,A2321 Manual Adjustment High-quality eco-friendly High-Quality Eco-Friendly Leather/genuine leather+ high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs greywhite Khaki color black色 115*78*77 1 piece per car,ea,1520.92,AUD,chairs.pdf,2,OK,
A2325,Chairs,A2325 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs greywhite Khaki color 99*72*75 1 piece per carton,ea,1520.92,AUD,chairs.pdf,3,OK,
A2326,Chairs,A2326 Electric High-quality eco-friendly faux leather High-Quality Eco-Friendly Leather+ high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs greywhite Khaki color 115*78*77 1 piece per carton 45KG,ea,2955.73,AUD,chairs.pdf,2,OK,
A2328,Chairs,A2328 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs greywhite Khaki color 99*72*75 1 piece per carton,ea,1225.43,AUD,chairs.pdf,3,OK,
A2329,Chairs,A2329 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs greywhite Khaki color black 99*72*75 1 piece per carton,ea,1520.92,AUD,chairs.pdf,3,OK,
A2333,Chairs,A2333 leather High-quality eco-friendly faux leather High-Quality Eco-Friendly Leather+ high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs greywhite Khaki color black 105*75*74CM 1 piece per carton,ea,1325.62,AUD,chairs.pdf,3,OK,
A236,Chairs,A236 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs black light grey 105*75*74 L-shaped cardboard box/1 piece per carton 2pieceputcartonsize are 105*107*74 0.42m³/pi,ea,1010.94,AUD,chairs.pdf,4,OK,
A3002,Chairs,A3002 black frame With Seat Shell *61*64 3piece per carton,ea,4180.74,AUD,chairs.pdf,26,OK,
A324,Chairs,A324 PU leather High-quality PU leather + high-density sponge+ metal armrest + metal legs L-shaped cardboard box 106*61*68(1piece) W59*D70*H118,ea,1328.68,AUD,chairs.pdf,11,OK,
A332,Chairs,A332 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs L-shaped cardboard box 108*65*68(1piece) W68*D67*H117,ea,1320.53,AUD,chairs.pdf,11,OK,
A335-1,Chairs,A335-1 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs L-shaped cardboard box 106*61*68(1piece) W66*D65*H116,ea,1120.14,AUD,chairs.pdf,11,OK,
A336,Chairs,A336 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 108*65*68(1piece) W68*D60*H125.5,ea,1535.01,AUD,chairs.pdf,11,OK,
A338,Chairs,A338 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 106*61*68(1piece) W69*D61*H116.5,ea,1520.92,AUD,chairs.pdf,11,OK,
A358,Chairs,A358 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 108*65*68(1piece) W69*D63*H119,ea,1535.01,AUD,chairs.pdf,12,OK,
A362,Chairs,A362 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 110*68*75(1piece) W72.5*D69.5*H118.5,ea,1935.79,AUD,chairs.pdf,12,OK,
A505,Chairs,A505 Electric with massage genuine leather High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs red black+ greywhite 106*78*77CM flatcarton 1 piece per carton,ea,3675.09,AUD,chairs.pdf,1,OK,
A506,Chairs,A506 leather Manual AdjustmentHigh -quality eco- friendly faux High-Quality Eco-Friendly Leather/genuine leather+ high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs Earthy yellow Khaki color 115*78*75 7字car,ea,1520.92,AUD,chairs.pdf,1,OK,
A509,Chairs,A509 Electric with massage genuine leather High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs Off-white+ grey red+black 106*78*77CM flatcarton 1 piece per carton,ea,3970.58,AUD,chairs.pdf,1,OK,
A511,Chairs,A511 Manual AdjustmentHigh -quality eco- friendly faux High-Quality Eco-Friendly Leather/genuine leather+ high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs red Off-white black 112*75*79CM 7字carton 1 piece ,ea,1520.92,AUD,chairs.pdf,1,OK,
A512,Chairs,A512 Electric genuine leather High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs coffee black,ea,3975.68,AUD,chairs.pdf,1,OK,
A513,Chairs,A513 Manual AdjustmentHigh -quality eco- friendly faux High-Quality Eco-Friendly Leather/genuine leather+ high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs coffee black 115*78*77 7字carton 1 piece per carto,ea,1520.92,AUD,chairs.pdf,1,OK,
A513D,Chairs,A513D Manual AdjustmentHigh -quality eco- friendly faux leather High-Quality Eco-Friendly Leather/genuine leather+ high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs coffee black,ea,1420.72,AUD,chairs.pdf,2,OK,
A515,Chairs,A515 Electric with massage genuine leather High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs light brown black 115*78*75CM flatcarton 1 piece per carton,ea,4790.13,AUD,chairs.pdf,1,OK,
A518,Chairs,A518 Electric genuine leather High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs coffee black,ea,3975.68,AUD,chairs.pdf,1,OK,
A520,Chairs,A520 Electric with massage genuine leather High-Quality genuine leather/ PU leather+ shaping sponge+ Wooden Inner Frame + metal legs greywhite black 106*78*77CM flatcarton 1 piece per carton,ea,3870.39,AUD,chairs.pdf,1,OK,
A6615,Chairs,A6615 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton,ea,1010.94,AUD,chairs.pdf,14,OK,
A8006,Chairs,A8006 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 95*70*64 1 piece per carton 0.42m³ 23KGS,ea,1320.53,AUD,chairs.pdf,14,OK,
A8068,Chairs,A8068 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 97*76*63 2 pieces per carton 0.24m³/piece 22kg,ea,751.46,AUD,chairs.pdf,9,OK,
A821,Chairs,A821 PU leather 电镀脚 High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton,ea,1025.04,AUD,chairs.pdf,12,OK,
A8801,Chairs,A8801 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton82*62*118 0.6m³ 24.5KGS,ea,1420.72,AUD,chairs.pdf,13,OK,
A8802,Chairs,A8802 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton97*57*70 0.39m³ 23KGS,ea,1535.01,AUD,chairs.pdf,13,OK,
A8805,Chairs,A8805 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton103*63*71 0.46m³ 23KG,ea,1220.33,AUD,chairs.pdf,14,OK,
A8809,Chairs,A8809 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton97*57*70 0.39m³ 25.5KGS,ea,1325.62,AUD,chairs.pdf,13,OK,
A881,Chairs,A881 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton 103*63*71 0.46m³ 21.2KGS,ea,1225.43,AUD,chairs.pdf,12,OK,
A8810,Chairs,A8810 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton97*57*70 0.39m³ 21KGS,ea,1535.01,AUD,chairs.pdf,13,OK,
A9152,Chairs,A9152 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 115*72*65 2 pieces per carton 0.27m³/piece 23kg,ea,751.46,AUD,chairs.pdf,9,OK,
A996,Chairs,A996 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black coffee 90*40*65 1 piece per carton 0.24m³/piece 25kg,ea,951.85,AUD,chairs.pdf,9,OK,
B04,Chairs,B04 PU leather High-quality PU leather + high-density sponge+ wooden frame + metal legs 70*60*62 1 piece per carton 19kg,ea,851.65,AUD,chairs.pdf,14,OK,
B1910,Chairs,B1910 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey Earthy yellow 97*76*63 2piece/carton 0.24m³/piece 21kg,ea,701.36,AUD,chairs.pdf,9,OK,
B1911,Chairs,B1911 PU leather metal leg High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs coffee+Off- white coffee+ grey 95*76*40 1 piece per carton 0.29m³1piece 24kg,ea,1125.24,AUD,chairs.pdf,8,OK,
B1916,Chairs,B1916 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs beige orange grey 108*59*69 L-shaped cardboard box/1 piece per carton 2-piece combined carton box specifications are 108*80*,ea,801.55,AUD,chairs.pdf,7,OK,
B1919,Chairs,B1919 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 97*75*36 1 piece per carton 0.27m³ 24kg,ea,951.85,AUD,chairs.pdf,8,OK,
B192,Chairs,B192 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 110*68*66 2 pieces per carton 0.25m³1piece 20kg,ea,701.36,AUD,chairs.pdf,8,OK,
B1926,Chairs,B1926 PU leather High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs coffee+Off- white coffee+ grey 98*75*42 1 piece per carton 0.31m³/piece 24kg,ea,1425.82,AUD,chairs.pdf,7,OK,
B193,Chairs,B193 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee Earthy yellow 78*75*35 1 piece per carton 0.21m³/piece 24kg,ea,1010.94,AUD,chairs.pdf,10,OK,
B21,Chairs,B21 black frame With Seat Shell High-quality mesh fabric + high-density foam + PP + metal 73*41*62 1piece per carton,ea,731.42,AUD,chairs.pdf,25,OK,
B210,Chairs,B210 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs orange+Off- white coffee+ grey 78*66*38 1 piece per carton 0.2m³/piece 22kg,ea,1125.24,AUD,chairs.pdf,6,OK,
B218,Chairs,B218 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs grey grey+coffee light grey+coffee 95*33*65 1 piece per carton 0.2m³/piece 20kg,ea,951.85,AUD,chairs.pdf,7,OK,
B219,Chairs,B219 PU leather High-quality PU leather + shaping sponge+ Wooden Inner Frame + metal legs coffee+Eart hy yellow coffee+Off- white 95*33*65 1 piece per carton 0.2m³/piece 19kg,ea,951.85,AUD,chairs.pdf,6,OK,
B2203,Chairs,B2203 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey 72*64*36 1 piece per carton 0.17m³/piece 20kg,ea,701.36,AUD,chairs.pdf,5,OK,
B2205,Chairs,B2205 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey 72*64*36 1 piece per carton 0.17m³/piece 19kg 2,ea,701.36,AUD,chairs.pdf,5,OK,
B2212,Chairs,B2212 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs Off- white+Beige grey,ea,1125.24,AUD,chairs.pdf,5,OK,
B2215,Chairs,B2215 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs Off- white+light grey 106*66*74 L-shaped cardboard box/1 piece per carton 2-piece combined carton box specifications are 106,ea,651.26,AUD,chairs.pdf,6,OK,
B231,Chairs,B231 Aluminum Alloy leg High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs black grey,ea,1220.33,AUD,chairs.pdf,6,OK,
B31,Chairs,B31 black *51*64 2piece per carton,ea,3976.75,AUD,chairs.pdf,24,OK,
B324,Chairs,B324 PU leather High-quality PU leather + high-density sponge+ metal armrest + metal legs L-shaped cardboard box 90*61*68(1piece) 102*73*62(2piece) W59*D67*H106,ea,1320.53,AUD,chairs.pdf,11,OK,
B332,Chairs,B332 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs L-shaped cardboard box 88*65*68(1piece) 105*70*68(2piece) W68*D66*H99.5,ea,1225.43,AUD,chairs.pdf,11,OK,
B335-1,Chairs,B335-1 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs L-shaped cardboard box 90*61*68(1piece) 90*70*68(2piece) W66*D62*H94,ea,1025.04,AUD,chairs.pdf,11,OK,
B336,Chairs,B336 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 88*65*68(1piece) W68*D61*H101,ea,1520.92,AUD,chairs.pdf,11,OK,
B338,Chairs,B338 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 90*61*68(1piece) W69*D61*H96.5,ea,1420.72,AUD,chairs.pdf,12,OK,
B358,Chairs,B358 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 88*65*68(1piece) W69*D63*H97,ea,1520.92,AUD,chairs.pdf,12,OK,
B362,Chairs,B362 PU leather High-quality PU leather +Inner frame metal frame + shaping sponge + metal legs L-shaped cardboard box 90*68*75(1piece) W72.5*D69.5*H100,ea,1830.5,AUD,chairs.pdf,12,OK,
B6615,Chairs,B6615 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 2 pieces per carton,ea,951.85,AUD,chairs.pdf,14,OK,
B8006,Chairs,B8006 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs 1 piece per carton 78*74*64 0.36m³ 21KG,ea,1225.43,AUD,chairs.pdf,14,OK,
